"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 12- 18","9.7545","9.6601","9.7712","9.6033","","0.88%"
"2015- 12- 17","9.6691","9.5821","9.6974","9.5581","","0.83%"
"2015- 12- 16","9.5898","9.6441","9.7159","9.5719","","-0.66%"
"2015- 12- 15","9.6539","9.7763","9.8062","9.6323","","-1.34%"
"2015- 12- 14","9.7854","9.8005","9.8686","9.7446","","-0.41%"
"2015- 12- 11","9.8257","9.6864","9.8692","9.6400","","1.34%"
"2015- 12- 10","9.6962","9.7238","9.7336","9.6479","","-0.38%"
"2015- 12- 09","9.7332","9.5932","9.7742","9.5659","","1.36%"
"2015- 12- 08","9.6026","9.5255","9.6455","9.5069","","0.71%"
"2015- 12- 07","9.5348","9.4390","9.5505","9.4312","","0.93%"
"2015- 12- 04","9.4471","9.4017","9.4909","9.3900","","0.38%"
"2015- 12- 03","9.4117","9.4281","9.5015","9.3916","","-0.26%"
"2015- 12- 02","9.4366","9.3946","9.4732","9.3784","","0.33%"
"2015- 12- 01","9.4058","9.4178","9.4401","9.3795","","-0.24%"
"2015- 11- 30","9.4281","9.4064","9.4647","9.3726","","0.12%"
"2015- 11- 27","9.4169","9.3598","9.4470","9.3545","","0.51%"
"2015- 11- 26","9.3695","9.3141","9.3910","9.2995","","0.49%"
"2015- 11- 25","9.3239","9.3482","9.3922","9.3040","","-0.37%"
"2015- 11- 24","9.3583","9.4235","9.4422","9.3466","","-0.80%"
"2015- 11- 23","9.4336","9.3928","9.4497","9.3796","","0.42%"
"2015- 11- 20","9.3941","9.3966","9.4441","9.3589","","-0.13%"
"2015- 11- 19","9.4059","9.4254","9.4595","9.3934","","-0.29%"
"2015- 11- 18","9.4334","9.4668","9.5313","9.4235","","-0.45%"
"2015- 11- 17","9.4756","9.4865","9.5200","9.4599","","-0.21%"
"2015- 11- 16","9.4958","9.5636","9.5993","9.4835","","-0.49%"
"2015- 11- 13","9.5425","9.4453","9.5466","9.4342","","0.93%"
"2015- 11- 12","9.4550","9.3931","9.4719","9.3637","","0.54%"
"2015- 11- 11","9.4040","9.4011","9.4229","9.3684","","-0.06%"
"2015- 11- 10","9.4092","9.3984","9.4366","9.3697","","0.03%"
"2015- 11- 09","9.4065","9.3563","9.4466","9.3205","","0.50%"
"2015- 11- 06","9.3600","9.3373","9.4104","9.2871","","0.15%"
"2015- 11- 05","9.3463","9.3277","9.3862","9.3242","","0.07%"
"2015- 11- 04","9.3393","9.3237","9.3680","9.2900","","0.07%"
"2015- 11- 03","9.3331","9.4185","9.4342","9.3157","","-1.00%"
"2015- 11- 02","9.4272","9.4437","9.5044","9.4011","","-0.35%"
"2015- 10- 30","9.4604","9.4204","9.4749","9.3688","","0.33%"
"2015- 10- 29","9.4294","9.4545","9.5029","9.4147","","-0.33%"
"2015- 10- 28","9.4604","9.4226","9.4901","9.3348","","0.31%"
"2015- 10- 27","9.4309","9.3183","9.4602","9.3165","","1.10%"
"2015- 10- 26","9.3285","9.3477","9.4035","9.3175","","-0.26%"
"2015- 10- 23","9.3526","9.3551","9.3929","9.2924","","-0.14%"
"2015- 10- 22","9.3658","9.4943","9.5375","9.3473","","-1.46%"
"2015- 10- 21","9.5046","9.4317","9.5220","9.4031","","0.67%"
"2015- 10- 20","9.4417","9.4641","9.5086","9.4010","","-0.35%"
"2015- 10- 19","9.4745","9.4629","9.5059","9.3637","","0.02%"
"2015- 10- 16","9.4724","9.4360","9.5298","9.4192","","0.28%"
"2015- 10- 15","9.4460","9.5592","9.5999","9.4286","","-1.28%"
"2015- 10- 14","9.5684","9.5958","9.6671","9.5421","","-0.39%"
"2015- 10- 13","9.6061","9.5224","9.6307","9.5167","","0.78%"
"2015- 10- 12","9.5319","9.5350","9.5792","9.4811","","-0.14%"
"2015- 10- 09","9.5452","9.6020","9.6220","9.4648","","-0.71%"
"2015- 10- 08","9.6134","9.6460","9.7172","9.5954","","-0.44%"
"2015- 10- 07","9.6556","9.6522","9.7374","9.5825","","-0.04%"
"2015- 10- 06","9.6597","9.6309","9.7330","9.6270","","0.22%"
"2015- 10- 05","9.6381","9.7695","9.7982","9.6144","","-1.49%"
"2015- 10- 02","9.7835","9.8198","9.9778","9.7656","","-0.45%"
"2015- 10- 01","9.8279","9.8781","9.8957","9.7709","","-0.61%"
