,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
151,201708,1145.4,100.1,96,112,2483578.7,13653.7,1.125,1.25,2.287,2.117,40049.5,31977.4,85,78.9,102.31,111.21,384839,121810.56,4,4.4,2363.19,21948.1
152,201709,1120.4,98.9,101.27,117,2510203.7,13705.5,1.125,1.25,2.286,2.334,46885.3,32431.7,85.1,77.8,103,110.92,384674,121223.65,3.7,4.3,2394.47,22405.09
153,201710,1088.2,102,109.8,116,2502994.8,13750.7,1.125,1.25,2.455,2.379,38273.2,30029,85.4,79.3,103.11,111.6,384463,120045.88,3.7,4.2,2523.43,23377.24
154,201711,1070.5,102,116.95,114,2522962.9,13819.9,1.125,1.5,2.54,2.41,42090,32859.2,84.7,78.2,103.01,111.99,387251,121590.22,3.7,4.2,2476.37,24272.35
155,201712,1067.9,101.7,109.22,113,2530353.6,13945.0,1.375,1.5,2.472,2.405,41785.8,34365.5,85.2,78.9,103.06,112.48,389267,122178.43,3.6,4.1,2467.49,24719.22
156,201801,1082.8,99.4,112.79,119,2554843.7,13863.1,1.375,1.5,2.626,2.705,41391,36534.8,84.1,79.8,103.49,112.77,395755,125130.14,3.3,4,2566.46,26149.39
157,201802,1063.5,101,105.06,120,2569313.3,13849.1,1.375,1.5,2.77,2.861,37360.3,32982.5,83.9,79.1,103.93,113.26,394799,124899.54,3.7,4.1,2427.36,25029.2
158,201803,1068,97.8,103.38,118,2584208.4,14031.0,1.625,1.5,2.708,2.739,42617.3,34741.7,83.1,77.4,103.89,113.65,396754,125238.21,4.1,4,2445.85,24103.11
159,201804,1077.7,99.6,105.14,112,2584177.1,14069.5,1.625,1.5,2.655,2.953,41709.7,34219,83.7,78.3,104.02,113.84,398422,123503.61,3.8,4,2515.38,24163.15
160,201805,1114.5,101.8,105.63,118,2609834.8,13980.4,1.625,1.5,2.757,2.859,42098.3,35117,83.1,79,104.32,113.65,398981,122739.08,3.8,3.8,2423.01,24415.84
161,201806,1118.7,100.2,101.77,114,2632341.1,14074.7,1.875,1.5,2.656,2.86,43134.1,36078.1,84.4,80.2,104.35,113.65,400299,122161.87,3.6,4,2326.13,24271.41
162,201807,1112.9,95.4,91.39,120,2634789.9,14109.6,1.875,1.5,2.549,2.96,43967.8,36091.7,84.9,80.4,104.84,114.62,402448,124800.31,3.8,3.8,2295.26,25415.19
163,201808,1109.3,96.5,96.4,118,2642505.1,14164.9,1.875,1.5,2.458,2.86,43755,35981.5,85.5,81.1,105.31,114.13,401131,124496.92,4.6,3.8,2322.88,25964.82
164,201809,1139.6,99,101.08,116,2661729.3,14199.5,2.125,1.5,2.315,3.061,43730.6,33459.6,86.3,81.5,105.61,113.84,403000,123928.39,4.1,3.7,2343.07,26458.31
165,201810,1121.2,95,87.38,114,2682252.6,14201.4,2.125,1.5,2.338,3.144,46424.4,39844.1,84.6,82.2,105.25,113.74,402748,122990.37,4,3.8,2029.69,25115.76
166,201811,1115.7,94,93.82,111,2687143,14255.1,2.125,1.75,2.209,2.988,43809.2,38354.9,85.1,81.9,104.51,114.13,402987,123853.75,3.9,3.8,2096.86,25538.46
167,201812,1112.7,94.3,92.51,104,2700362.4,14448.8,2.375,1.75,1.992,2.684,40868.1,35732.5,84.8,81.2,104.01,114.72,403694,124984.56,3.7,3.9,2041.04,23327.46
168,201901,1124.7,91.9,97.39,104,2712849.6,14423.8,2.375,1.75,1.991,2.629,38143.5,36956,82.6,81.8,103.9,115.5,405513,125935.44,3.9,4,2204.85,24999.67
169,201902,1135.1,97.1,96.02,109,2739656.1,14401.9,2.375,1.75,1.988,2.715,32839,29513.2,83.2,80.5,104,115.59,404674,125504.03,3.8,3.8,2195.44,25916
170,201903,1168.2,96.3,95.9,112,2763165.2,14572.5,2.375,1.75,1.953,2.405,39272.2,32887.1,83.6,78.3,104.36,115.5,405253,125319.53,3.9,3.8,2140.67,25928.68
171,201904,1190.9,97.3,101.71,108,2760406.6,14623.0,2.375,1.75,1.889,2.502,40895.8,35651.1,83.8,79.1,104.66,115.69,404029,124739.11,4.1,3.6,2203.59,26592.91
172,201905,1154.7,93.9,94.94,111,2773218.1,14575.0,2.375,1.75,1.828,2.125,37625.1,35800.2,82.3,82.1,104.78,115.79,401972,127231,3.9,3.7,2041.74,24815.04
173,201906,1183.1,94.6,95.01,107,2813932.9,14734.8,2.375,1.75,1.618,2.005,36663.2,32478.6,83.3,81,104.48,115.3,403072,128590.13,3.9,3.6,2130.62,26599.96
174,201907,1211.2,91.7,89.57,108,2807361.7,14814.4,2.375,1.5,1.506,2.014,38271.4,34996.8,83.1,80,104.48,115.79,403113,127297.6,4,3.7,2024.55,26864.27
175,201908,1196.2,91,83.5,106,2848885.3,14896.1,2.125,1.5,1.254,1.496,37065.9,34605.9,84.2,81.5,104.73,115.3,401483,128943.4,3.5,3.7,1967.79,26403.28
176,201909,1163.4,93.7,95.32,107,2853964.3,14986.8,1.875,1.5,1.42,1.665,37874.8,31347.1,84.9,80.9,104.79,115.4,403320,128276.49,3.5,3.5,2063.05,26916.83
177,201910,1181.2,93,92.99,104,2871952.2,15112.2,1.625,1.25,1.577,1.691,39111.6,33364.3,83.8,80.6,104.54,115.98,406324,128883.28,3.5,3.6,2083.48,27046.23
178,201911,1156.4,93.9,104.01,103,2917439.1,15259.4,1.625,1.25,1.75,1.776,36702,32948.3,83.3,80.9,104.39,115.4,407460,128210.14,3.7,3.6,2087.96,28051.41
179,201912,1191.8,94.7,105.59,106,2913609.6,15412.5,1.625,1.25,1.653,1.918,38245.5,35016.1,83.7,80.2,104.68,115.11,408816,128928.01,3.5,3.6,2197.67,28538.44
180,202001,1213.7,97.2,102.02,109,2922453.1,15397.1,1.625,1.25,1.656,1.507,36288.3,35366.9,84.2,82.8,105.07,113.74,409653,129159.53,3.5,3.5,2119.01,28256.03
181,202002,1217.4,89.6,82.04,109,2977983.5,15382.3,1.625,1.25,1.54,1.149,34453.4,29631.1,84.2,80.1,104.73,114.33,409171,128870.22,3.4,3.5,1987.01,25409.36
182,202003,1218.2,68.6,71.21,103,2986838.8,16051.5,0.125,0.75,1.485,0.67,38472.6,32630.5,83.3,78.1,103.8,114.72,400214,128376.66,3.9,4.4,1754.64,21917.16
183,202004,1238.5,61.4,80.4,101,3011431.2,17097.7,0.125,0.75,1.504,0.627,30043.5,29586,82.8,78,102.9,115.4,403982,127394,3.9,14.7,1947.56,24633.86
184,202005,1203,63.4,90.36,96,3065842.1,17762.5,0.125,0.5,1.394,0.653,29356,26493.1,84.2,76.4,102.93,115.5,407311,129601.72,4.3,13.2,2029.6,25383.11
185,202006,1191.3,68.1,98.84,101,3083081.9,18099.1,0.125,0.5,1.392,0.656,32985.9,27309.9,84.1,76.3,103.45,115.69,410754,133215.59,4.2,11,2108.33,25812.88
186,202007,1187.8,76.8,106.02,102,3083834.8,18248.1,0.125,0.5,1.36,0.528,35465.4,30474.2,82.9,78.4,103.69,116.47,416526,140282.56,4.2,10.2,2249.37,26428.32
187,202008,1169.5,82.9,99.47,108,3092225.8,18315.1,0.125,0.5,1.373,0.705,33224.7,28137,84.2,78.6,104.2,116.28,418951,140825.23,3.7,8.4,2326.17,28430.05
188,202009,1135.1,77.1,99.39,108,3132300.8,18538.7,0.125,0.5,1.5,0.65,39824.9,30698.1,83.3,77.9,104.4,116.37,420545,139120.97,4.1,7.9,2327.89,27452.66
189,202010,1106.5,88.4,104.76,112,3162426.9,18684.8,0.125,0.5,1.507,0.874,36938.4,30393.1,82.4,77.7,103.99,117.84,426510,139706.25,4.2,6.9,2267.15,26501.6
190,202011,1086.3,91.4,112.67,104,3190796.7,18975.4,0.125,0.5,1.61,0.839,38061.8,30489.6,83.2,76.3,104.07,118.81,436377,141668.84,4.2,6.7,2591.34,29638.64
191,202012,1118.8,85.3,113.35,112,3199835.7,19242.5,0.125,0.5,1.675,0.913,43198.6,34057.4,84.2,76.3,104.89,119.88,443098,145752.46,4.3,6.7,2873.47,30606.48
192,202101,1123.5,92.6,114.01,124,3232213.3,19367.4,0.125,0.5,1.731,1.066,40003.1,35460.8,83.3,79.8,106.05,121.15,442728,144771.47,4.8,6.3,2976.21,29982.62
193,202102,1131.8,96.2,107.14,125,3289214.2,19518.7,0.125,0.5,1.845,1.405,36991.6,33726.9,82.7,79.5,106.92,122.32,447557,143696.74,4,6.2,3012.95,30932.37
194,202103,1112.3,101.2,114.07,128,3324920.8,19941.2,0.125,0.5,2.04,1.74,44177.5,38529.4,82.3,77.5,108.06,123.39,446127,141369.81,4,6.1,3061.42,32981.55
195,202104,1110.9,105.3,119.42,137,3343374.5,20263.3,0.125,0.5,2.041,1.626,42140.6,40203.3,82.3,79,109.09,124.58,452310,141191.51,3.8,6.1,3147.86,33874.85
196,202105,1126.1,105.4,115.54,136,3384519.7,20310.1,0.125,0.5,2.131,1.594,42319.3,37741.4,83.4,78.8,109.68,125.49,456459,142109.36,3.8,5.8,3203.92,34529.45
197,202106,1150.3,109.4,118.42,140,3418842.8,20431.2,0.125,0.5,2.103,1.468,45955.6,39668.2,83.9,78.7,110.26,125.84,454106,140332.32,3.7,5.9,3296.68,34502.51
198,202107,1159.5,103.8,117.3,140,3439194.8,20555.9,0.125,0.5,1.976,1.222,46872.8,42853.7,84.5,79.8,111.33,126.8,458681,140835.35,3.3,5.4,3202.32,34935.47
199,202108,1184,105.3,109.78,137,3489987.3,20748.6,0.125,0.75,1.905,1.309,45275.4,41586.5,85.2,80.6,111.91,127.77,463934,253060.1,3.2,5.2,3199.27,35360.73
200,202109,1168.6,104.5,106.41,133,3503617.5,20922.0,0.125,0.75,2.061,1.487,47131.5,41947.6,84.3,81.2,112.33,128.02,463972,252383.99,3,4.8,3068.82,33843.92
201,202110,1187.9,105.6,104.44,138,3563231.3,21088.6,0.125,0.75,2.399,1.552,46995.9,44208.7,84.4,82.1,113.5,129.7,469208,251098.96,3.2,4.5,2970.68,35819.56
202,202111,1188.8,106.3,110.79,139,3596418.3,21324.0,0.125,1,2.355,1.444,51374.8,47336.9,85.2,82.5,114.31,131.16,463908,249727.79,3.1,4.2,2839.01,34483.72
203,202112,1205.5,104.5,111.48,129,3613687.6,21646.7,0.125,1,2.187,1.51,51295.3,49604.2,84.5,81.1,114.29,133.72,463118.36,251568.25,3.6,3.9,2977.65,36338.3
204,202201,1202.3,105.7,103.28,134,3629712.4,21628.5,0.125,1.25,2.492,1.777,46456,51227.3,83.8,84.5,115.49,129.7,461527,249552.86,3.3,4,2663.34,35131.86
205,202202,1212.1,105.8,103.65,135,3657117.3,21582.5,0.125,1.25,2.69,1.825,45744.3,43657.8,84.5,81.6,116.04,131.17,461766,250691.9,2.8,3.8,2699.18,33892.6
206,202203,1255.9,103.5,103.64,153,3652818.7,21855.7,0.375,1.25,2.784,2.338,54293.6,52193,85.1,81.8,117.81,133.86,457810,246958.19,2.8,3.6,2757.65,34678.35
207,202204,1237.2,105.8,104.68,147,3675692.3,21848.1,0.375,1.5,3.219,2.934,48851.5,49646.4,84.5,82.5,119.72,134.68,449298,240221.75,2.8,3.6,2695.05,32977.21
