,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
49,200902,1383.5,70.5,80.19,109,1470463.5,8305.2,0.125,2,5.24,3.013,21865.7,17905.9,86.1,79.2,95.85,93.85,201536,73551,3.3,8.3,1063.03,7062.93
50,200903,1282,73.5,89.93,115,1467314.9,8441.1,0.125,2,4.97,2.663,23879.3,19085.7,85.6,79.8,96.31,93.19,206340,75267,3.6,8.7,1206.26,7608.92
51,200904,1255,90.4,99.01,109,1481967.5,8441.5,0.125,2,4.9,3.119,26119.7,19710.1,86.1,79.2,96.42,93.74,212478,75877,3.7,9,1369.36,8168.12
52,200905,1273.9,95.6,99.85,107,1498549.1,8428.6,0.125,2,5.05,3.459,23855.9,19032.8,85.7,81.3,95.68,94.68,226766,78634,3.9,9.4,1395.89,8500.33
53,200906,1228.5,98.9,101.13,110,1509702.2,8441.3,0.125,2,5.26,3.533,27835.6,20296.5,86.4,79,95.43,96.51,231735,82194,3.9,9.5,1390.07,8447
54,200907,1248.9,99.7,108.91,113,1506976.6,8407.6,0.125,2,5.18,3.48,27329.9,22352.3,85.7,80.8,96.52,95.63,237510,83375,3.8,9.5,1557.29,9171.61
55,200908,1178.1,108.2,105.46,115,1526511.9,8386.7,0.125,2,5.44,3.398,24826,21951.5,85.8,80.1,97.07,97.01,245459,127017.61,3.8,9.6,1591.85,9496.28
56,200909,1182.5,109.5,109.23,117,1541191.2,8394.9,0.125,2,5.38,3.305,28857.7,23920.6,85.1,80.4,97.16,96.51,254247,133968.62,3.6,9.8,1673.14,9712.28
57,200910,1162.8,112,106.15,111,1554701.4,8426.4,0.125,2,5.45,3.383,28712,24601.1,84.5,80.9,96.39,97.12,264187,134266.28,3.6,10,1580.69,9712.73
58,200911,1164.5,108.5,105.4,117,1564351.2,8501.2,0.125,2,5.39,3.198,28706.2,23402.8,84.5,79.2,96.72,98.34,270892,137128.26,3.7,9.9,1555.6,10344.84
59,200912,1161.8,110,114.77,112,1566850,8543.7,0.125,2,5.31,3.837,30658.1,26139.6,85.1,79.4,97.2,98.64,269995,131174.2,3.6,9.9,1682.77,10428.05
60,201001,1160,113,113.22,116,1589487.9,8464.4,0.125,2,5.35,3.584,26149.4,25990.8,85.1,82.4,97.63,99.03,273694,130296.42,4.7,9.8,1602.43,10067.33
61,201002,1131.3,116.2,104.91,119,1596976.4,8508.4,0.125,2,5.3,3.612,28431.2,24797.4,86.1,79.9,97.8,99.22,270660,129435.26,4,9.8,1594.58,10325.26
