,날짜,경제심리지수(순환변동치),뉴스심리지수,소비자심리지수,외국인 보유금액(조),외환보유액(천달러),미국M2,한국M2(십억원),한국금리,미국금리,경상수지,원달러종가,원달러시가
49,14-Feb,99.3,96.53,108.7,425.2,341001159 ,11137.5,1954340.7,2.5,0.13,4812.5,1067.7,1080.4
50,14-Mar,99.2,103.52,109.2,424.6,343612737 ,11266,1964954,2.5,0.13,6182.8,1068.8,1072.68
51,14-Apr,99,104.57,109.2,424.2,345021964 ,11337.9,1970361.6,2.5,0.13,6875.5,1031.7,1061.8
52,14-May,98.8,102.96,105,436.9,350184986 ,11264.58,1982390.9,2.5,0.13,9148.3,1021.6,1033.5
53,14-Jun,98.6,101.99,107.7,437.2,355764147 ,11334.32,1999376.3,2.5,0.13,7768.8,1014.4,1021.2
54,14-Jul,98.5,103.45,105.2,459.5,357302467 ,11391.05,2013935.1,2.5,0.13,6198.8,1024.3,1012.02
55,14-Aug,98.4,107.02,107.1,455.1,356905661 ,11419.2,2031777.2,2.25,0.13,6793.9,1013.6,1033.3
56,14-Sep,98.5,103.56,108,437.2,353970030 ,11458.52,2037600.8,2.25,0.13,7418.7,1050.6,1013.55
57,14-Oct,98.5,96.81,105.3,430.1,353363934 ,11542.78,2051149.8,2,0.13,8604.5,1054,1057.05
58,14-Nov,98.5,104.84,103.1,438,352801605 ,11595.65,2083253.5,2,0.13,10582.7,1101.1,1082.79
59,14-Dec,98.6,100.99,101.5,422.3,353600472 ,11739.06,2088729.8,2,0.13,6805.4,1099.2,1113.02
60,15-Jan,98.6,102.71,102.9,433.5,352337447 ,11761.95,2092223.5,2,0.13,7076,1090.8,1093.9
61,15-Feb,98.6,105.9,103.6,436.8,352502108 ,11821.43,2109892.3,2,0.13,6136.4,1099.2,1101.9
62,15-Mar,98.5,111.26,101.8,451.3,353332770 ,11945.72,2127887.8,1.75,0.13,9761.5,1105,1102.05
63,15-Apr,98.2,114.88,104.6,470.3,360481327 ,12022.95,2148114.7,1.75,0.13,7221.6,1068.1,1108.99
64,15-May,97.8,108.19,105.9,461.4,362109803 ,11898.88,2166741.1,1.75,0.13,7958.8,1108,1077.07
65,15-Jun,97.4,102.01,98.7,444.6,364976561 ,11953.08,2179561.1,1.5,0.13,11546.2,1124.1,1113.35
66,15-Jul,97,102.99,100.7,430.2,361136634 ,12016,2200510.9,1.5,0.13,9367.2,1166.3,1119.41
67,15-Aug,96.6,94.64,102,405.2,358156216 ,12062.56,2218660.3,1.5,0.13,8119.4,1176.3,1167.15
68,15-Sep,96.3,101.73,103.2,413.8,358418535 ,12139.03,2230000.7,1.5,0.13,10600.3,1194.5,1183.1
69,15-Oct,95.8,106.98,105.7,441.3,359937704 ,12158,2232432,1.5,0.13,9561,1142.3,1185.28
70,15-Nov,95.3,106.69,106.3,430.2,358868773 ,12288.04,2242848.2,1.5,0.13,9727.7,1150.4,1140.66
71,15-Dec,94.8,103.01,103.1,420.4,358513845 ,12422.68,2246070.1,1.5,0.38,8042.5,1172,1160.59
72,16-Jan,94.3,96.15,100.4,403.6,357860408 ,12484.18,2261356.4,1.5,0.38,7317.4,1208.4,1175.94
73,16-Feb,94,94.38,98.2,407.3,356745942 ,12505.2,2285313.5,1.5,0.38,7927.5,1235.4,1208.11
74,16-Mar,93.9,102.6,100.4,432.5,360825491 ,12678.78,2294544.7,1.5,0.38,11122.8,1153.5,1238.6
75,16-Apr,94.1,102.15,102,432.2,363450086 ,12791.53,2299081.3,1.5,0.38,4184.3,1143.9,1145.28
76,16-May,94.4,97.16,99.6,433.4,361728534 ,12703.96,2312801.2,1.5,0.38,10491,1190.6,1145.4
77,16-Jun,94.9,92.01,99.2,437.4,360752001 ,12786.1,2334256.2,1.25,0.38,12409.7,1164.7,1189.39
78,16-Jul,95.5,102.88,101.4,454.7,362248177 ,12841.38,2352245.1,1.25,0.38,8831.8,1125.7,1151.99
79,16-Aug,95.9,100.89,102.3,466.7,366306387 ,12931.94,2377323.1,1.25,0.38,5410.1,1118.5,1111.81
80,16-Sep,96.3,91.79,102.2,469.6,368589918 ,13013.47,2383040.5,1.25,0.38,7517.5,1096.3,1116.3
81,16-Oct,96.5,91.68,102.5,468.3,366069533 ,13071.16,2391059.2,1.25,0.38,7476.8,1145.2,1101.81
82,16-Nov,96.7,93.03,95.9,469.1,362543891 ,13190.75,2406393.5,1.25,0.38,7873.3,1168.5,1142.73
83,16-Dec,96.9,94.85,94.2,480.8,361701404 ,13284.6,2414040.9,1.25,0.63,7361.5,1208.5,1177.39
84,17-Jan,97.2,96.99,93.3,501.1,364576158 ,13292.82,2417807.6,1.25,0.63,3401.7,1157.8,1206.85
85,17-Feb,97.5,97.57,94.5,502.4,364453419 ,13299.6,2420285.6,1.25,0.63,7438.6,1132.1,1151.65
86,17-Mar,98,99.59,97,528.2,365826297 ,13480.4,2436994.7,1.25,0.88,5140.3,1116.1,1137.39
87,17-Apr,98.5,111.46,101.6,545.6,367083534 ,13589.03,2450220.9,1.25,0.88,3184,1130.1,1116.9
88,17-May,99,114.84,108.8,581,368925892 ,13466.46,2454386.7,1.25,0.88,4262.1,1123.9,1137.74
89,17-Jun,99.5,110.58,112,597.3,371026348 ,13520.1,2470861.1,1.25,1.13,7008.9,1139.6,1119.65
90,17-Jul,100.1,111.11,112.1,605.7,373938120 ,13577.9,2472110.4,1.25,1.13,7467.4,1119.1,1145.61
91,17-Aug,100.5,97.93,110.8,595.9,374970930 ,13653.23,2485629.9,1.25,1.13,6139.4,1122.8,1119.4
92,17-Sep,100.8,100.89,108.5,613,374836165 ,13699.13,2492388.2,1.25,1.13,12337.7,1146.7,1124.86
93,17-Oct,101,108.35,110,650.9,374692523 ,13744.22,2504594.2,1.25,1.13,6890,1125,1145.13
94,17-Nov,101.1,116.53,113.2,634.4,377544543 ,13818.13,2521786.3,1.5,1.13,7474.3,1082.4,1118.42
95,17-Dec,100.9,108.07,111.8,634.7,379476576 ,13928.38,2527641.3,1.5,1.38,4486.5,1071.4,1088.13
96,18-Jan,100.5,111.16,111,657.7,385895553 ,13884.18,2551196,1.5,1.38,2556.9,1071.5,1067.38
97,18-Feb,100,106.43,109.3,621.1,384951294 ,13839.28,2570764.6,1.5,1.38,3226.7,1071,1070.12
98,18-Mar,99.5,102.83,109.2,625.2,386902803 ,14005.35,2578361.8,1.5,1.63,5210.4,1066.5,1085.21
99,18-Apr,99,103.35,108.2,643.8,388627503 ,14078.76,2590840.7,1.5,1.63,1490.4,1076.2,1060.56
100,18-May,98.6,105.83,109.1,623.9,389269623 ,13975.55,2600274.3,1.5,1.63,8792.3,1081.3,1070.33
101,18-Jun,98.1,101.98,106.5,596.9,390334499 ,14066.95,2622268.3,1.5,1.88,7980.1,1121.7,1080.74
102,18-Jul,97.7,92.29,101.9,592.7,392182545 ,14106.02,2637421.8,1.5,1.88,8874.4,1116.7,1115.01
103,18-Aug,97.3,96.21,99.9,599.8,390894325 ,14160.95,2651503.4,1.5,1.88,8581.2,1108.8,1113.25
104,18-Sep,96.8,102.62,100.8,597,392778804 ,14198.8,2652829.5,1.5,2.13,11235.5,1112.7,1115.65
